"name","length","score","pvalue"
"NODE_56_length_15799_cov_4.618267",15799,0.21749353531443,0.208949793839437
"NODE_57_length_15471_cov_40.148028",15471,0.899273510122892,0.0133398011156925
"NODE_58_length_15470_cov_7.342264",15470,0.747329796214416,0.0371089012854717
"NODE_59_length_15366_cov_9.115668",15366,0.565521364397451,0.0734901770555421
"NODE_60_length_15143_cov_28.856641",15143,0.862898905272013,0.0191608052389037
"NODE_61_length_14893_cov_4.504178",14893,0.907498260851768,0.0126121756002911
"NODE_62_length_14772_cov_15.504587",14772,0.694058505237288,0.0469318457433907
"NODE_63_length_14684_cov_17.773805",14684,0.275536853182271,0.176449187484841
"NODE_64_length_14587_cov_4.766240",14587,0.79295723127963,0.0295901042929905
"NODE_65_length_13937_cov_21.460020",13937,0.969767621988375,0.00521464952704342
"NODE_66_length_13861_cov_11.163262",13861,0.996374694150642,0.000970167353868542
"NODE_67_length_13790_cov_3.436112",13790,0.94676937995516,0.00739752607324764
"NODE_68_length_13481_cov_7.627588",13481,0.989045941667319,0.00254668930390492
"NODE_69_length_13471_cov_14.651535",13471,0.783763011441357,0.0308028134853262
"NODE_70_length_13341_cov_22.118696",13341,0.950022989416266,0.0071549842347805
"NODE_71_length_13252_cov_4.212927",13252,0.432795529623592,0.108901285471744
"NODE_72_length_13193_cov_6.962627",13193,0.63719311270092,0.0578462284744118
"NODE_73_length_13120_cov_11.406276",13120,0.993824514606926,0.00157652195003638
"NODE_74_length_13048_cov_15.412222",13048,0.158184386595225,0.261217560029105
"NODE_75_length_13043_cov_3.710887",13043,0.857946665277076,0.0201309725927723
"NODE_76_length_13004_cov_11.526064",13004,0.99749640223174,0.000606354596167839
"NODE_77_length_13002_cov_7.923921",13002,0.326736450976855,0.149769585253456
"NODE_78_length_12929_cov_8.046916",12929,0.201557378039284,0.223259762308998
"NODE_79_length_12919_cov_29.034748",12919,0.991516968485598,0.00206160562697065
"NODE_80_length_12895_cov_4.779673",12895,0.833534764833519,0.0237691001697793
"NODE_81_length_12875_cov_6.177535",12875,0.696750843296419,0.0468105748241572
"NODE_82_length_12873_cov_8.700967",12873,0.305976694994321,0.158864904195974
"NODE_83_length_12839_cov_45.718789",12839,0.948427805590787,0.00727625515401407
"NODE_84_length_12732_cov_7.443165",12732,0.614976965033821,0.0637885035168567
"NODE_85_length_12640_cov_6.040922",12640,0.561840944337652,0.0743390734901771
"NODE_86_length_12500_cov_4.893049",12500,0.806748616845654,0.0276497695852535
"NODE_87_length_12500_cov_4.833186",12500,0.221492687570936,0.205918020858598
"NODE_88_length_12359_cov_8.429860",12359,0.814756748619304,0.0261945185544506
"NODE_89_length_12259_cov_15.756227",12259,0.181002769493914,0.240237691001698
"NODE_90_length_12221_cov_6.730643",12221,0.782492527721042,0.0312878971622605
"NODE_91_length_12203_cov_5.057376",12203,0.920113646098058,0.0111569245694882
"NODE_92_length_12077_cov_4.191150",12077,0.746758749115043,0.0372301722047053
"NODE_93_length_11988_cov_9.308975",11988,0.498428661771327,0.0885277710405045
"NODE_94_length_11527_cov_38.472280",11527,0.0973254739147952,0.340407470288625
"NODE_95_length_11483_cov_31.117606",11483,0.713510519535747,0.0434149890856173
"NODE_96_length_11455_cov_4.818333",11455,0.90424489299025,0.0129759883579918
"NODE_97_length_11425_cov_4.059455",11425,0.647684623924493,0.056390977443609
"NODE_98_length_11371_cov_4.629993",11371,0.901355166381691,0.0129759883579918
"NODE_99_length_11280_cov_7.361514",11280,0.0188202268889724,0.626606839679845
"NODE_100_length_11228_cov_6.333930",11228,0.849133361524037,0.0217074945428086
"NODE_101_length_11144_cov_19.128416",11144,0.598665605518069,0.0665777346592287
"NODE_102_length_11131_cov_5.067895",11131,0.98557391229394,0.00278923114237206
"NODE_103_length_11081_cov_5.643298",11081,0.250445139371592,0.1896677176813
"NODE_104_length_11061_cov_7.342359",11061,0.728850431197352,0.0408682997817123
"NODE_105_length_10965_cov_7.234280",10965,0.975039331855423,0.00400194033470774
"NODE_106_length_10931_cov_5.022067",10931,0.901951802999597,0.0129759883579918
"NODE_107_length_10921_cov_19.888183",10921,0.926198966430659,0.0103080281348533
"NODE_108_length_10781_cov_3.969793",10781,0.95747144392411,0.00654862963861266
"NODE_109_length_10552_cov_4.012194",10552,0.93555701080769,0.00909531894251758
"NODE_110_length_10498_cov_32.128794",10498,0.404884615630399,0.118602959010429
"NODE_111_length_10361_cov_8.436057",10361,0.110084933459677,0.318942517584283
"NODE_112_length_10323_cov_5.890436",10323,0.324483428023245,0.151224836284259
"NODE_113_length_10255_cov_3.327647",10255,0.0544212475310059,0.438879456706282
"NODE_114_length_10225_cov_14.105310",10225,0.904614164129751,0.0128547174387582
"NODE_115_length_10180_cov_4.103605",10180,0.835224799743519,0.0236478292505457
"NODE_116_length_10066_cov_4.923085",10066,0.53845035038581,0.0791899102595198
"NODE_117_length_10001_cov_17.368289",10001,0.881182681697553,0.0162503031772981
"NODE_118_length_9972_cov_5.918524",9972,0.836895616628625,0.0234052874120786
"NODE_119_length_9965_cov_3.505550",9965,0.965991026975282,0.00545719136551055
"NODE_120_length_9939_cov_5.959733",9939,0.108408808546652,0.321125394130488
"NODE_121_length_9863_cov_18.852467",9863,0.891924273529754,0.0146737812272617
"NODE_122_length_9756_cov_13.645604",9756,0.791161624517278,0.0300751879699248
"NODE_123_length_9745_cov_6.401032",9745,0.308454037309949,0.158137278680572
"NODE_124_length_9722_cov_3.362470",9722,0.896744210565208,0.0137036138733932
"NODE_125_length_9589_cov_4.613279",9589,0.136326233373314,0.283046325491147
"NODE_126_length_9500_cov_32.582319",9500,0.885193643441669,0.0152801358234295
"NODE_127_length_9498_cov_3.739066",9498,0.478035683001091,0.093984962406015
"NODE_128_length_9390_cov_5.794322",9390,0.90949574560566,0.0124909046810575
"NODE_129_length_9365_cov_46.995704",9365,0.919990473362791,0.0111569245694882
"NODE_130_length_9340_cov_7.523856",9340,0.855393518818323,0.0206160562697065
"NODE_131_length_9334_cov_5.008945",9334,0.861698286726657,0.0194033470773708
"NODE_132_length_9270_cov_4.427455",9270,0.992910578269662,0.00181906378850352
"NODE_133_length_9018_cov_26.699543",9018,0.939519252423865,0.00873150618481688
"NODE_134_length_9005_cov_5.016425",9005,0.745119395959401,0.0373514431239389
"NODE_135_length_8927_cov_29.593102",8927,0.0491202957001329,0.455251030802813
