Header,Length,phage_score,chromosome_score,plasmid_score,Possible_source
NODE_114_length_10225_cov_14.105310,10225,0.700410938714711,0.0401281303860484,0.259460932504577,phage
NODE_115_length_10180_cov_4.103605,10180,0.680397796958743,0.0549148309953906,0.264687350945646,phage
NODE_116_length_10066_cov_4.923085,10066,0.473684773494514,0.0731426323616916,0.453172568710713,phage
NODE_117_length_10001_cov_17.368289,10001,0.7709251033814,0.0871382797342332,0.141936628835021,phage
NODE_118_length_9972_cov_5.918524,9972,0.892863137627337,0.0301896799229664,0.0769471748027795,phage
NODE_119_length_9965_cov_3.505550,9965,0.997903401446115,0.00116183916408367,0.000934795072869841,phage
NODE_120_length_9939_cov_5.959733,9939,0.567669408714667,0.176684565205715,0.255646027757292,phage
NODE_121_length_9863_cov_18.852467,9863,0.52544360312876,0.211094521997948,0.26346186428966,phage
NODE_122_length_9756_cov_13.645604,9756,0.543998954994066,0.146961793020676,0.309039255185096,phage
NODE_123_length_9745_cov_6.401032,9745,0.414491089828324,0.140290056251605,0.445218868450424,plasmid
NODE_124_length_9722_cov_3.362470,9722,0.710132533086227,0.123686845646165,0.166180615132298,phage
NODE_125_length_9589_cov_4.613279,9589,0.248131106165993,0.265012638398437,0.486856291976359,plasmid
NODE_126_length_9500_cov_32.582319,9500,0.739267554408626,0.0812501599325945,0.179482268659692,phage
NODE_127_length_9498_cov_3.739066,9498,0.676004102466533,0.119203085184511,0.204792781685322,phage
NODE_128_length_9390_cov_5.794322,9390,0.447895121745789,0.304510538284771,0.247594329257743,phage
NODE_129_length_9365_cov_46.995704,9365,0.315694290530026,0.319943839305235,0.364361862811616,plasmid
NODE_130_length_9340_cov_7.523856,9340,0.752490343067325,0.0758347459689852,0.171674896645852,phage
NODE_131_length_9334_cov_5.008945,9334,0.84953994998233,0.127829749216212,0.0226303227305674,phage
NODE_132_length_9270_cov_4.427455,9270,0.929565858493731,0.0487478431713584,0.0216862769815528,phage
NODE_133_length_9018_cov_26.699543,9018,0.951183801203352,0.011247851319502,0.037568346453807,phage
NODE_134_length_9005_cov_5.016425,9005,0.375419972060059,0.395778100898304,0.228801932039028,chromosome
NODE_135_length_8927_cov_29.593102,8927,0.451238527238015,0.245886782025041,0.302874699019633,phage
NODE_136_length_8817_cov_5.125200,8817,0.757868299256299,0.041924012056132,0.200207675147742,phage
NODE_137_length_8789_cov_52.105793,8789,0.897012801317648,0.0648258966146076,0.0381612956919091,phage
NODE_138_length_8775_cov_3.312729,8775,0.751840721847665,0.076299132922521,0.171860133783303,phage
NODE_139_length_8684_cov_4.603894,8684,0.533489244787142,0.27323709857358,0.193273658184583,phage
NODE_140_length_8657_cov_27.775169,8657,0.676969279252286,0.236356746023668,0.0866740012452768,phage
NODE_141_length_8649_cov_3.928788,8649,0.414329564162025,0.276600584666885,0.309069869953892,phage
NODE_142_length_8481_cov_24.375979,8481,0.396824718734001,0.328560344081571,0.274614938665583,phage
NODE_143_length_8404_cov_3.912445,8404,0.543822859523411,0.435797486444053,0.0203796637356228,phage
NODE_144_length_8385_cov_4.073349,8385,0.247457516861143,0.542357634772982,0.210184851424745,chromosome
NODE_145_length_8356_cov_4.010119,8356,0.684963971105359,0.10131166649598,0.213724365159191,phage
NODE_146_length_8309_cov_4.277805,8309,0.922874253727868,0.0131303829342212,0.0639953626783129,phage
NODE_147_length_8264_cov_4.794616,8264,0.22171309347248,0.527659962027688,0.250626945027871,chromosome
NODE_148_length_8155_cov_5.051235,8155,0.0512254084334815,0.620035033113455,0.328739549635763,chromosome
NODE_149_length_8132_cov_4.837811,8132,0.30776147958692,0.509569847112475,0.182668670560694,chromosome
NODE_150_length_8073_cov_17.760040,8073,0.312529655403915,0.192551980993255,0.494918346537235,plasmid
NODE_151_length_8063_cov_4.050574,8063,0.876624660642452,0.0276010370697618,0.0957742712039514,phage
NODE_152_length_7965_cov_12.390139,7965,0.20705331130946,0.260243659105902,0.532703052245067,plasmid
NODE_153_length_7938_cov_4.884435,7938,0.490077986479797,0.371005157759175,0.138916847139079,phage
NODE_154_length_7909_cov_3.269799,7909,0.412467001436754,0.143337517875021,0.444195489988027,plasmid
NODE_155_length_7821_cov_7.430080,7821,0.515627425957055,0.319819574155725,0.164553000701368,phage
NODE_156_length_7799_cov_3.536932,7799,0.552696100449406,0.0851653278015381,0.362138531348118,phage
NODE_157_length_7726_cov_9.227480,7726,0.557622127155859,0.0429771692768596,0.39940074181853,phage
NODE_158_length_7708_cov_4.038024,7708,0.931070250925401,0.0115731248439236,0.0573566185845015,phage
NODE_159_length_7610_cov_3.700066,7610,0.582092534931825,0.339024423906744,0.0788830390228166,phage
NODE_160_length_7605_cov_56.951788,7605,0.607848533041613,0.247875841404265,0.144275636391997,phage
NODE_161_length_7565_cov_6.083356,7565,0.903118678574836,0.0223792529704868,0.0745020730774347,phage
NODE_162_length_7529_cov_33.676612,7529,0.732205356967641,0.0503494331734654,0.217445210302475,phage
NODE_163_length_7417_cov_38.457213,7417,0.769572640264534,0.0950986473857895,0.135328684568212,phage
NODE_164_length_7399_cov_3.937636,7399,0.753782091998364,0.00783318758098347,0.238384727151982,phage
NODE_165_length_7262_cov_4.484806,7262,0.655934036467496,0.114375235692654,0.229690737541148,phage
NODE_166_length_7246_cov_35.618968,7246,0.324239516361886,0.114081428997299,0.561679057964066,plasmid
NODE_167_length_7198_cov_5.014840,7198,0.586510830362428,0.0845191796579628,0.328969998860167,phage
NODE_168_length_7197_cov_48.300476,7197,0.623279969733971,0.128999494944776,0.247720540889778,phage
